LEAGUE;DATE;TIME;HOME;AWAY;TIP 1;PROB1;USCITO1;TIP 2;PROB2;USCITO12;TIP 3;PROB3;USCITO13;TIP 4;PROB4;USCITO14
BRA2;04/01/2021;00:00:00;Confianca;Nautico;UN 1.5 HT;0.8042;X;;0;;;;;;;
BRA2;04/01/2021;21:00:00;Parana;Botafogo SP;X HT;0.7708;;UN 0.5 HT;0.7063;;UN 1.5 HT;0.8708;X;UN 2.5 FT;0.7396;X
ENG1;04/01/2021;21:00:00;Southampton;Liverpool;OV 0.5 HT;0.75;X;;0;;;;;;;
ESP1;04/01/2021;21:00:00;Valencia;Cadiz;OV 0.5 HT;0.75;;;0;;;;;;;
ESP2;04/01/2021;18:30:00;Girona;Sabadell;UN 1.5 HT;0.8889;X;;0;;;;;;;
ESP2;04/01/2021;21:00:00;Lugo;Sporting Gijon;UN 1.5 HT;0.8333;X;UN 2.5 FT;0.7778;X;;;;;;
GER2;04/01/2021;20:30:00;Dusseldorf;Paderborn;UN 1.5 HT;0.7738;X;;0;;;;;;;
ITA2;04/01/2021;15:00:00;Cosenza;Empoli;UN 1.5 HT;0.8125;X;;0;;;;;;;
ITA2;04/01/2021;15:00:00;Venezia;Pisa;OV 0.5 HT;0.8125;X;;0;;;;;;;
ITA2;04/01/2021;17:00:00;Ascoli;Reggina;UN 1.5 HT;0.8571;X;;0;;;;;;;
ITA2;04/01/2021;18:00:00;Cremonese;Chievo;UN 1.5 HT;0.7411;X;;0;;;;;;;
ITA2;04/01/2021;18:00:00;Frosinone;SPAL;UN 1.5 HT;0.875;;UN 2.5 FT;0.8125;;;;;;;
ITA2;04/01/2021;18:00:00;Reggiana;Pescara;OV 0.5 HT;0.7143;;;0;;;;;;;
ITA2;04/01/2021;18:00:00;Salernitana;Pordenone;UN 1.5 HT;0.9286;X;UN 2.5 FT;0.7857;X;;;;;;
ITA2;04/01/2021;18:00:00;Virtus Entella;Cittadella;OV 0.5 HT;0.7292;X;;0;;;;;;;
ITA2;04/01/2021;21:00:00;Brescia;Vicenza;OV 0.5 HT;0.8125;X;GG FT;0.75;;;;;;;
NED2;04/01/2021;18:45:00;Jong AZ;Roda JC;OV 0.5 HT;1;;OV 1.5 HT;0.75;;;;;;;
NED2;04/01/2021;21:00:00;Jong Utrecht;FC Den Bosch;OV 0.5 HT;0.9375;X;;0;;;;;;;
POR1;04/01/2021;18:00:00;Santa Clara;Benfica;OV 0.5 HT;0.7;;;0;X;;;;;;
POR1;04/01/2021;20:00:00;Gil Vicente;Belenenses;UN 1.5 HT;1;X;UN 2.5 FT;0.9;X;;;;;;
POR1;04/01/2021;22:15:00;Portimonense;Farense;UN 1.5 HT;0.9;X;UN 2.5 FT;0.8;X;;;;;;
POR2;04/01/2021;15:00:00;Cova Piedade;FC Porto B;OV 0.5 HT;0.7738;X;UN 1.5 HT;0.7619;X;;;;;;
POR2;04/01/2021;18:00:00;Estoril;Penafiel;OV 0.5 HT;0.8333;X;GG FT;0.7167;X;;;;;;
TUR1;04/01/2021;17:00:00;Kasimpasa;Fenerbahce;OV 0.5 HT;0.7143;X;;0;;;;;;;
