Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL1,Club Brugge,Charleroi,0,1,A,0,0,D
BEL1,Antwerp,Mouscron,1,1,D,0,0,D
BEL1,Standard Liege,Cercle Brugge,1,0,H,0,0,D
BEL1,Sint-Truiden,Gent,2,1,H,1,1,D
BEL1,Zulte-Waregem,KRC Genk,1,2,A,1,0,H
BEL1,KV Mechelen,Anderlecht,2,2,D,0,0,D
BEL1,Kortrijk,Beveren,1,3,A,0,1,A
BEL1,OH Leuven,Eupen,1,1,D,0,0,D
BEL1,Oostende,Beerschot-Wil.,1,2,A,0,1,A
BEL1,Mouscron,KV Mechelen,0,1,A,0,1,A
BEL1,KRC Genk,OH Leuven,1,1,D,0,0,D
BEL1,Charleroi,Oostende,1,0,H,0,0,D
BEL1,Gent,Kortrijk,1,2,A,0,1,A
BEL1,Cercle Brugge,Antwerp,2,1,H,0,1,A
BEL1,Beerschot-Wil.,Zulte-Waregem,3,1,H,1,0,H
BEL1,Eupen,Club Brugge,0,4,A,0,1,A
BEL1,Anderlecht,Sint-Truiden,3,1,H,1,0,H
BEL1,Beveren,Standard Liege,1,2,A,0,0,D
BEL1,Kortrijk,Eupen,0,0,D,0,0,D
BEL1,Zulte-Waregem,Beveren,4,1,H,1,0,H
BEL1,KV Mechelen,Cercle Brugge,2,3,A,1,0,H
BEL1,OH Leuven,Charleroi,1,3,A,1,1,D
BEL1,Antwerp,Gent,1,0,H,1,0,H
BEL1,Standard Liege,KRC Genk,0,0,D,0,0,D
BEL1,Club Brugge,Beerschot-Wil.,0,1,A,0,1,A
BEL1,Anderlecht,Mouscron,1,1,D,0,0,D
BEL1,Sint-Truiden,Oostende,0,0,D,0,0,D
BEL1,Oostende,Anderlecht,2,2,D,2,1,H
BEL1,Eupen,Sint-Truiden,1,1,D,1,0,H
BEL1,Beveren,OH Leuven,1,3,A,0,1,A
BEL1,Cercle Brugge,Kortrijk,0,1,A,0,0,D
BEL1,Mouscron,Zulte-Waregem,0,1,A,0,0,D
BEL1,KRC Genk,Club Brugge,1,2,A,0,1,A
BEL1,Beerschot-Wil.,Standard Liege,0,3,A,0,1,A
BEL1,Charleroi,Antwerp,2,0,H,1,0,H
BEL1,Gent,KV Mechelen,1,0,H,1,0,H
BEL1,Eupen,Gent,2,1,H,1,0,H
BEL1,KV Mechelen,Oostende,0,1,A,0,0,D
BEL1,OH Leuven,Standard Liege,1,0,H,0,0,D
BEL1,Club Brugge,Beveren,4,1,H,2,1,H
BEL1,Anderlecht,Cercle Brugge,2,0,H,1,0,H
BEL1,Sint-Truiden,Antwerp,2,3,A,2,2,D
BEL1,Zulte-Waregem,Charleroi,0,2,A,0,0,D
BEL1,Kortrijk,Mouscron,3,0,H,0,0,D
BEL1,Beerschot-Wil.,KRC Genk,5,2,H,1,1,D
BEL1,Charleroi,Beerschot-Wil.,3,1,H,1,0,H
BEL1,Oostende,OH Leuven,3,1,H,1,0,H
BEL1,Mouscron,Gent,0,1,A,0,1,A
BEL1,Beveren,Anderlecht,2,4,A,0,2,A
BEL1,Zulte-Waregem,Club Brugge,0,6,A,0,4,A
BEL1,Standard Liege,Kortrijk,2,1,H,2,1,H
BEL1,KRC Genk,KV Mechelen,3,1,H,1,1,D
BEL1,Antwerp,Eupen,2,2,D,0,1,A
BEL1,Cercle Brugge,Sint-Truiden,3,0,H,2,0,H
BEL1,Kortrijk,Antwerp,1,3,A,1,0,H
BEL1,Beerschot-Wil.,Beveren,3,2,H,1,2,A
BEL1,KV Mechelen,Sint-Truiden,2,0,H,0,0,D
BEL1,Gent,OH Leuven,2,3,A,0,2,A
BEL1,Standard Liege,Zulte-Waregem,2,2,D,0,1,A
BEL1,Anderlecht,Eupen,1,1,D,0,0,D
BEL1,Club Brugge,Cercle Brugge,2,1,H,1,0,H
BEL1,Mouscron,Charleroi,1,1,D,1,1,D
BEL1,KRC Genk,Oostende,2,2,D,1,1,D
BEL1,Antwerp,KV Mechelen,4,1,H,3,0,H
BEL1,Beveren,KRC Genk,1,1,D,0,0,D
BEL1,Eupen,Cercle Brugge,1,2,A,1,1,D
BEL1,OH Leuven,Zulte-Waregem,2,1,H,1,0,H
BEL1,Sint-Truiden,Kortrijk,0,0,D,0,0,D
BEL1,Club Brugge,Anderlecht,3,0,H,1,0,H
BEL1,Gent,Beerschot-Wil.,5,1,H,3,0,H
BEL1,Charleroi,Standard Liege,1,2,A,0,0,D
BEL1,Oostende,Mouscron,3,0,H,0,0,D
BEL1,Cercle Brugge,Gent,5,2,H,2,1,H
BEL1,Beerschot-Wil.,Sint-Truiden,6,3,H,5,1,H
BEL1,KV Mechelen,Kortrijk,1,2,A,0,0,D
BEL1,Standard Liege,Club Brugge,1,1,D,0,1,A
BEL1,Zulte-Waregem,Antwerp,1,3,A,1,0,H
BEL1,Mouscron,Eupen,0,2,A,0,0,D
BEL1,KRC Genk,Charleroi,2,1,H,1,0,H
BEL1,Anderlecht,OH Leuven,2,2,D,2,0,H
BEL1,Kortrijk,Anderlecht,1,3,A,0,2,A
BEL1,OH Leuven,Club Brugge,2,1,H,1,1,D
BEL1,Antwerp,Beerschot-Wil.,3,2,H,2,1,H
