Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ITA1,Fiorentina,Torino,1,0,H,0,0,D
ITA1,Hellas Verona,AS Roma,3,0,H,3,0,H
ITA1,Parma,Napoli,0,2,A,0,0,D
ITA1,Genoa,Crotone,4,1,H,3,1,H
ITA1,Sassuolo,Cagliari,1,1,D,0,0,D
ITA1,Juventus,Sampdoria,3,0,H,1,0,H
ITA1,AC Milan,Bologna,2,0,H,1,0,H
ITA1,Torino,Atalanta,2,4,A,2,3,A
ITA1,Cagliari,Lazio,0,2,A,0,1,A
ITA1,Sampdoria,Benevento,2,3,A,2,1,H
ITA1,Inter Milan,Fiorentina,4,3,H,1,1,D
ITA1,Spezia,Sassuolo,1,4,A,1,1,D
ITA1,Hellas Verona,Udinese,1,0,H,0,0,D
ITA1,Crotone,AC Milan,0,2,A,0,1,A
ITA1,Napoli,Genoa,6,0,H,1,0,H
ITA1,AS Roma,Juventus,2,2,D,2,1,H
ITA1,Bologna,Parma,4,1,H,2,0,H
ITA1,Benevento,Inter Milan,2,5,A,1,4,A
ITA1,Udinese,Spezia,0,2,A,0,1,A
ITA1,Lazio,Atalanta,1,4,A,0,3,A
ITA1,Fiorentina,Sampdoria,1,2,A,0,1,A
ITA1,Sassuolo,Crotone,4,1,H,1,0,H
ITA1,Udinese,AS Roma,0,1,A,0,0,D
ITA1,Atalanta,Cagliari,5,2,H,4,1,H
ITA1,Benevento,Bologna,1,0,H,0,0,D
ITA1,Lazio,Inter Milan,1,1,D,0,1,A
ITA1,Parma,Hellas Verona,1,0,H,1,0,H
ITA1,AC Milan,Spezia,3,0,H,0,0,D
ITA1,Napoli,Atalanta,4,1,H,4,0,H
ITA1,Inter Milan,AC Milan,1,2,A,1,2,A
ITA1,Sampdoria,Lazio,3,0,H,2,0,H
ITA1,Crotone,Juventus,1,1,D,1,1,D
ITA1,Bologna,Sassuolo,3,4,A,2,1,H
ITA1,Spezia,Fiorentina,2,2,D,1,2,A
ITA1,Torino,Cagliari,2,3,A,1,2,A
ITA1,Udinese,Parma,3,2,H,1,1,D
ITA1,AS Roma,Benevento,5,2,H,2,1,H
ITA1,Hellas Verona,Genoa,0,0,D,0,0,D
ITA1,Sassuolo,Torino,3,3,D,0,1,A
ITA1,Atalanta,Sampdoria,1,3,A,0,1,A
ITA1,Genoa,Inter Milan,0,2,A,0,0,D
ITA1,Lazio,Bologna,2,1,H,0,0,D
ITA1,Cagliari,Crotone,4,2,H,3,2,H
ITA1,Benevento,Napoli,1,2,A,1,0,H
ITA1,Parma,Spezia,2,2,D,1,2,A
ITA1,Fiorentina,Udinese,3,2,H,2,1,H
ITA1,Juventus,Hellas Verona,1,1,D,0,0,D
ITA1,AC Milan,AS Roma,3,3,D,1,1,D
ITA1,Crotone,Atalanta,1,2,A,1,2,A
ITA1,Inter Milan,Parma,2,2,D,0,0,D
ITA1,Bologna,Cagliari,3,2,H,1,1,D
ITA1,Udinese,AC Milan,1,2,A,0,1,A
